STT,MAQUANCHAR,TEN_QUANHUYEN,MA_TINH,CODE_TINH,TEN_DAY_DU,TINH_THANH,
1,AGCD,THỊ XÃ CHÂU ĐỐC,AN GIANG_AGG,AGG,THỊ XÃ CHÂU ĐỐC-AGCD,AN_GIANG_AGG,
2,AGPT,HUYỆN PHÚ TÂN,AN GIANG_AGG,AGG,HUYỆN PHÚ TÂN-AGPT,BA_RIA_VUNG_TAU_VTU,
3,AGLX,THÀNH PHỐ LONG XUYÊN,AN GIANG_AGG,AGG,THÀNH PHỐ LONG XUYÊN-AGLX,BAC_GIANG_BGG,
4,AGAP,HUYỆN AN PHÚ,AN GIANG_AGG,AGG,HUYỆN AN PHÚ-AGAP,BAC_KAN_BKN,
5,AGCM,HUYỆN CHỢ MỚI,AN GIANG_AGG,AGG,HUYỆN CHỢ MỚI-AGCM,BAC_LIEU_BLU,
6,AGCP,HUYỆN CHÂU PHÚ,AN GIANG_AGG,AGG,HUYỆN CHÂU PHÚ-AGCP,BAC_NINH_BNH,
7,AGTC,THỊ XÃ TÂN CHÂU,AN GIANG_AGG,AGG,THỊ XÃ TÂN CHÂU-AGTC,BEN_TRE_BTE,
8,AGTB,HUYỆN TỊNH BIÊN,AN GIANG_AGG,AGG,HUYỆN TỊNH BIÊN-AGTB,BINH_DINH_BDH,
9,AGTT,HUYỆN TRI TÔN,AN GIANG_AGG,AGG,HUYỆN TRI TÔN-AGTT,BINH_DUONG_BDG,
10,AGCT,HUYỆN CHÂU THÀNH,AN GIANG_AGG,AGG,HUYỆN CHÂU THÀNH-AGCT,BINH_PHUOC_BPC,
11,AGTS,HUYỆN THOẠI SƠN,AN GIANG_AGG,AGG,HUYỆN THOẠI SƠN-AGTS,BINH_THUAN_BTN,
694,VTBR,THỊ XÃ BÀ RỊA,BA RIA VUNG TAU_VTU,VTU,THỊ XÃ BÀ RỊA-VTBR,CA_MAU_CMU,
695,VTTT,HUYỆN TÂN THÀNH,BA RIA VUNG TAU_VTU,VTU,HUYỆN TÂN THÀNH-VTTT,CAN_THO_CTO,
696,VTXM,HUYỆN XUYÊN MỘC,BA RIA VUNG TAU_VTU,VTU,HUYỆN XUYÊN MỘC-VTXM,CAO_BANG_CBG,
697,VTCC,HUYỆN CHÂU ĐỨC,BA RIA VUNG TAU_VTU,VTU,HUYỆN CHÂU ĐỨC-VTCC,DA_NANG_DNG,
698,VTVT,THÀNH PHỐ VŨNG TÀU,BA RIA VUNG TAU_VTU,VTU,THÀNH PHỐ VŨNG TÀU-VTVT,DAK_LAK_DLK,
699,VTDD,HUYỆN ĐẤT ĐỎ,BA RIA VUNG TAU_VTU,VTU,HUYỆN ĐẤT ĐỎ-VTDD,DAK_NONG_DKG,
700,VTLT,HUYỆN LONG THÀNH,BA RIA VUNG TAU_VTU,VTU,HUYỆN LONG THÀNH-VTLT,DIEN_BIEN_DBN,
701,VTCD,HUYỆN CÔN ĐẢO,BA RIA VUNG TAU_VTU,VTU,HUYỆN CÔN ĐẢO-VTCD,DONG_NAI_DNI,
702,VTLD,HUYỆN LONG ĐIỀN,BA RIA VUNG TAU_VTU,VTU,HUYỆN LONG ĐIỀN-VTLD,DONG_THAP_DTP,
32,BGBG,THÀNH PHỐ BẮC GIANG,BAC GIANG_BGG,BGG,THÀNH PHỐ BẮC GIANG-BGBG,GIA_LAI_GLI,
33,BGHH,HUYỆN HIỆP HÒA,BAC GIANG_BGG,BGG,HUYỆN HIỆP HÒA-BGHH,HA_GIANG_HGG,
34,BGVY,HUYỆN VIỆT YÊN,BAC GIANG_BGG,BGG,HUYỆN VIỆT YÊN-BGVY,HA_NAM_HNM,
35,BGYT,HUYỆN YÊN THẾ,BAC GIANG_BGG,BGG,HUYỆN YÊN THẾ-BGYT,HA_NOI_HNI,
36,BGLN,HUYỆN LỤC NGẠN,BAC GIANG_BGG,BGG,HUYỆN LỤC NGẠN-BGLN,HA_TINH_HTH,
37,BGLG,HUYỆN LẠNG GIANG,BAC GIANG_BGG,BGG,HUYỆN LẠNG GIANG-BGLG,HAI_DUONG_HDG,
38,BGTY,HUYỆN TÂN YÊN,BAC GIANG_BGG,BGG,HUYỆN TÂN YÊN-BGTY,HAI_PHONG_HPG,
39,BGLM,HUYỆN LỤC NAM,BAC GIANG_BGG,BGG,HUYỆN LỤC NAM-BGLM,HAU_GIANG_HUG,
40,BGSD,HUYỆN SƠN ĐỘNG,BAC GIANG_BGG,BGG,HUYỆN SƠN ĐỘNG-BGSD,HO_CHI_MINH_HCM,
41,BGYD,HUYỆN YÊN DŨNG,BAC GIANG_BGG,BGG,HUYỆN YÊN DŨNG-BGYD,HOA_BINH_HBH,
42,BKCM,HUYỆN CHỢ MỚI,BAC KAN_BKN,BKN,HUYỆN CHỢ MỚI-BKCM,HUNG_YEN_HYN,
43,BKCD,HUYỆN CHỢ ĐỒN,BAC KAN_BKN,BKN,HUYỆN CHỢ ĐỒN-BKCD,KHANH_HOA_KHA,
44,BKNS,HUYỆN NGÂN SƠN,BAC KAN_BKN,BKN,HUYỆN NGÂN SƠN-BKNS,KIEN_GIANG_KGG,
45,BKBK,THỊ XÃ BẮC KẠN,BAC KAN_BKN,BKN,THỊ XÃ BẮC KẠN-BKBK,KON_TUM_KTM,
46,BKNR,HUYỆN NA RÌ,BAC KAN_BKN,BKN,HUYỆN NA RÌ-BKNR,LAI_CHAU_LCU,
47,BKBT,HUYỆN BẠCH THÔNG,BAC KAN_BKN,BKN,HUYỆN BẠCH THÔNG-BKBT,LAM_DONG_LDG,
48,BKBB,HUYỆN BA BỂ,BAC KAN_BKN,BKN,HUYỆN BA BỂ-BKBB,LANG_SON_LSN,
49,BKPN,HUYỆN PẮC NẶM,BAC KAN_BKN,BKN,HUYỆN PẮC NẶM-BKPN,LAO_CAI_LCI,
50,BLHB,HUYỆN HÒA BÌNH,BAC LIEU_BLU,BLU,HUYỆN HÒA BÌNH-BLHB,LONG_AN_LAN,
51,BLDH,HUYỆN ĐÔNG HẢI,BAC LIEU_BLU,BLU,HUYỆN ĐÔNG HẢI-BLDH,NAM_DINH_NDH,
52,BLBL,THỊ XÃ BẠC LIÊU,BAC LIEU_BLU,BLU,THỊ XÃ BẠC LIÊU-BLBL,NGHE_AN_NAN,
53,BLGR,HUYỆN GIÁ RAI,BAC LIEU_BLU,BLU,HUYỆN GIÁ RAI-BLGR,NINH_BINH_NBH,
54,BLVL,HUYỆN VĨNH LỢI,BAC LIEU_BLU,BLU,HUYỆN VĨNH LỢI-BLVL,NINH_THUAN_NTN,
55,BLHD,HUYỆN HỒNG DÂN,BAC LIEU_BLU,BLU,HUYỆN HỒNG DÂN-BLHD,PHU_THO_PHO,
56,BLPL,HUYỆN PHƯỚC LONG,BAC LIEU_BLU,BLU,HUYỆN PHƯỚC LONG-BLPL,PHU_YEN_PYN,
57,BNLT,HUYỆN LƯƠNG TÀI,BAC NINH_BNH,BNH,HUYỆN LƯƠNG TÀI-BNLT,QUANG_BINH_QBH,
58,BNBN,THÀNH PHỐ BẮC NINH,BAC NINH_BNH,BNH,THÀNH PHỐ BẮC NINH-BNBN,QUANG_NAM_QNM,
59,BNGB,HUYỆN GIA BÌNH,BAC NINH_BNH,BNH,HUYỆN GIA BÌNH-BNGB,QUANG_NGAI_QNI,
60,BNTT,HUYỆN THUẬN THÀNH,BAC NINH_BNH,BNH,HUYỆN THUẬN THÀNH-BNTT,QUANG_NINH_QNH,
61,BNQV,HUYỆN QUẾ VÕ,BAC NINH_BNH,BNH,HUYỆN QUẾ VÕ-BNQV,QUANG_TRI_QTI,
62,BNYP,HUYỆN YÊN PHONG,BAC NINH_BNH,BNH,HUYỆN YÊN PHONG-BNYP,SOC_TRANG_STG,
63,BNTD,HUYỆN TIÊN DU,BAC NINH_BNH,BNH,HUYỆN TIÊN DU-BNTD,SON_LA_SLA,
64,BNTS,HUYỆN TỪ SƠN,BAC NINH_BNH,BNH,HUYỆN TỪ SƠN-BNTS,TAY_NINH_TNH,
75,BTBI,HUYỆN BA TRI,BEN TRE_BTE,BTE,HUYỆN BA TRI-BTBI,THAI_BINH_TBH,
76,BTCL,HUYỆN CHỢ LÁCH,BEN TRE_BTE,BTE,HUYỆN CHỢ LÁCH-BTCL,THAI_NGUYEN_TNN,
77,BTBD,HUYỆN BÌNH ĐẠI,BEN TRE_BTE,BTE,HUYỆN BÌNH ĐẠI-BTBD,THANH_HOA_THA,
78,BTMN,HUYỆN MỎ CÀY NAM,BEN TRE_BTE,BTE,HUYỆN MỎ CÀY NAM-BTMN,THUA_THIEN_HUE_HUE,
79,BTMB,HUYỆN MỎ CÀY BẮC,BEN TRE_BTE,BTE,HUYỆN MỎ CÀY BẮC-BTMB,TIEN_GIANG_TGG,
80,BTTP,HUYỆN THẠNH PHÚ,BEN TRE_BTE,BTE,HUYỆN THẠNH PHÚ-BTTP,TRA_VINH_TVH,
81,BTGT,HUYỆN GIỒNG TRÔM,BEN TRE_BTE,BTE,HUYỆN GIỒNG TRÔM-BTGT,TUYEN_QUANG_TQG,
82,BTCT,HUYỆN CHÂU THÀNH,BEN TRE_BTE,BTE,HUYỆN CHÂU THÀNH-BTCT,VINH_LONG_VLG,
83,BTBT,THÀNH PHỐ BẾN TRE,BEN TRE_BTE,BTE,THÀNH PHỐ BẾN TRE-BTBT,VINH_PHUC_VPC,
21,BDTS,HUYÊN TÂY SƠN,BINH DINH_BDH,BDH,HUYÊN TÂY SƠN-BDTS,YEN_BAI_YBN,
22,BDHA,HUYỆN HOÀI ÂN,BINH DINH_BDH,BDH,HUYỆN HOÀI ÂN-BDHA,AGG,
23,BDVC,HUYỆN VÂN CANH,BINH DINH_BDH,BDH,HUYỆN VÂN CANH-BDVC,BDG,
24,BDAN,HUYỆN AN NHƠN,BINH DINH_BDH,BDH,HUYỆN AN NHƠN-BDAN,BDH,
25,BDHN,HUYỆN HOÀI NHƠN,BINH DINH_BDH,BDH,HUYỆN HOÀI NHƠN-BDHN,BGG,
26,BDAL,HUYỆN AN LÃO,BINH DINH_BDH,BDH,HUYỆN AN LÃO-BDAL,BKN,
27,BDVT,HUYỆN VĨNH THẠNH,BINH DINH_BDH,BDH,HUYỆN VĨNH THẠNH-BDVT,BLU,
28,BDTP,HUYỆN TUY PHƯỚC,BINH DINH_BDH,BDH,HUYỆN TUY PHƯỚC-BDTP,BNH,
29,BDPM,HUYỆN PHÙ MỸ,BINH DINH_BDH,BDH,HUYỆN PHÙ MỸ-BDPM,BPC,
30,BDQN,THÀNH PHỐ QUY NHƠN,BINH DINH_BDH,BDH,THÀNH PHỐ QUY NHƠN-BDQN,BTE,
31,BDPC,HUYỆN PHÙ CÁT,BINH DINH_BDH,BDH,HUYỆN PHÙ CÁT-BDPC,BTN,
12,BDTU,THỊ XÃ TÂN UYÊN,BINH DUONG_BDG,BDG,THỊ XÃ TÂN UYÊN-BDTU,CBG,
13,BDDA,THỊ XÃ DĨ AN,BINH DUONG_BDG,BDG,THỊ XÃ DĨ AN-BDDA,CMU,
14,BDBC,THỊ XÃ BẾN CÁT,BINH DUONG_BDG,BDG,THỊ XÃ BẾN CÁT-BDBC,CTO,
15,BDBB,HUYỆN BÀU BÀNG,BINH DUONG_BDG,BDG,HUYỆN BÀU BÀNG-BDBB,DBN,
16,BDBU,HUYỆN BẮC TÂN UYÊN,BINH DUONG_BDG,BDG,HUYỆN BẮC TÂN UYÊN-BDBU,DKG,
17,BDTA,THỊ XÃ THUẬN AN,BINH DUONG_BDG,BDG,THỊ XÃ THUẬN AN-BDTA,DLK,
18,BDPG,HUYỆN PHÚ GIÁO,BINH DUONG_BDG,BDG,HUYỆN PHÚ GIÁO-BDPG,DNG,
19,BDDT,HUYỆN DẦU TIẾNG,BINH DUONG_BDG,BDG,HUYỆN DẦU TIẾNG-BDDT,DNI,
20,BDTM,THỊ XÃ THỦ DẦU MỘT,BINH DUONG_BDG,BDG,THỊ XÃ THỦ DẦU MỘT-BDTM,DTP,
65,BPBP,HUYỆN BÙ ĐỐP,BINH PHUOC_BPC,BPC,HUYỆN BÙ ĐỐP-BPBP,GLI,
66,BPLN,HUYỆN LỘC NINH,BINH PHUOC_BPC,BPC,HUYỆN LỘC NINH-BPLN,HBH,
67,BPDX,THỊ XÃ ĐỒNG XOÀI,BINH PHUOC_BPC,BPC,THỊ XÃ ĐỒNG XOÀI-BPDX,HCM,
68,BPDP,HUYỆN ĐỒNG PHÚ,BINH PHUOC_BPC,BPC,HUYỆN ĐỒNG PHÚ-BPDP,HDG,
69,BPHQ,HUYỆN HỚN QUẢN,BINH PHUOC_BPC,BPC,HUYỆN HỚN QUẢN-BPHQ,HGG,
70,BPBL,THỊ XÃ BÌNH LONG,BINH PHUOC_BPC,BPC,THỊ XÃ BÌNH LONG-BPBL,HNI,
71,BPCT,HUYỆN CHƠN THÀNH,BINH PHUOC_BPC,BPC,HUYỆN CHƠN THÀNH-BPCT,HNM,
72,BPBD,HUYỆN BÙ ĐĂNG,BINH PHUOC_BPC,BPC,HUYỆN BÙ ĐĂNG-BPBD,HPG,
73,BPPL,THỊ XÃ PHƯỚC LONG,BINH PHUOC_BPC,BPC,THỊ XÃ PHƯỚC LONG-BPPL,HTH,
74,BPBM,HUYỆN BÙ GIA MẬP,BINH PHUOC_BPC,BPC,HUYỆN BÙ GIA MẬP-BPBM,HUE,
75,BPPR,HUYỆN PHÚ RIỀNG,BINH PHUOC_BPC,BPC,HUYỆN PHÚ RIỀNG-BPPR,HUG,
84,BTHB,HUYỆN HÀM THUẬN BẮC,BINH THUAN_BTN,BTN,HUYỆN HÀM THUẬN BẮC-BTHB,HYN,
85,BTPQ,HUYỆN PHÚ QUÝ,BINH THUAN_BTN,BTN,HUYỆN PHÚ QUÝ-BTPQ,KGG,
86,BTTG,HUYỆN TUY PHONG,BINH THUAN_BTN,BTN,HUYỆN TUY PHONG-BTTG,KHA,
87,BTTL,HUYỆN TÁNH LINH,BINH THUAN_BTN,BTN,HUYỆN TÁNH LINH-BTTL,KTM,
88,BTDL,HUYỆN ĐỨC LINH,BINH THUAN_BTN,BTN,HUYỆN ĐỨC LINH-BTDL,LAN,
89,BTLG,THỊ XÃ LA GI,BINH THUAN_BTN,BTN,THỊ XÃ LA GI-BTLG,LCI,
90,BTHT,HUYỆN HÀM TÂN,BINH THUAN_BTN,BTN,HUYỆN HÀM TÂN-BTHT,LCU,
91,BTHN,HUYỆN HÀM THUẬN NAM,BINH THUAN_BTN,BTN,HUYỆN HÀM THUẬN NAM-BTHN,LDG,
92,BTBB,HUYỆN BẮC BÌNH,BINH THUAN_BTN,BTN,HUYỆN BẮC BÌNH-BTBB,LSN,
93,BTPT,THÀNH PHỐ PHAN THIẾT,BINH THUAN_BTN,BTN,THÀNH PHỐ PHAN THIẾT-BTPT,NAN,
107,CMCN,HUYỆN CÁI NƯỚC,CA MAU_CMU,CMU,HUYỆN CÁI NƯỚC-CMCN,NBH,
108,CMNC,HUYỆN NĂM CĂN,CA MAU_CMU,CMU,HUYỆN NĂM CĂN-CMNC,NDH,
109,CMDD,HUYỆN ĐẦM DƠI,CA MAU_CMU,CMU,HUYỆN ĐẦM DƠI-CMDD,NTN,
110,CMNH,HUYỆN NGỌC HIỂN,CA MAU_CMU,CMU,HUYỆN NGỌC HIỂN-CMNH,PHO,
111,CMUM,HUYỆN U MINH,CA MAU_CMU,CMU,HUYỆN U MINH-CMUM,PYN,
112,CMTT,HUYỆN TRẦN VĂN THỜI,CA MAU_CMU,CMU,HUYỆN TRẦN VĂN THỜI-CMTT,QBH,
113,CMPT,HUYỆN PHÚ TÂN,CA MAU_CMU,CMU,HUYỆN PHÚ TÂN-CMPT,QNH,
114,CMCM,THÀNH PHỐ CÀ MAU,CA MAU_CMU,CMU,THÀNH PHỐ CÀ MAU-CMCM,QNI,
115,CMTB,HUYỆN THỚI BÌNH,CA MAU_CMU,CMU,HUYỆN THỚI BÌNH-CMTB,QNM,
116,CTOM,QUẬN Ô MÔN,CAN THO_CTO,CTO,QUẬN Ô MÔN-CTOM,QTI,
117,CTTL,HUYỆN THỚI LAI,CAN THO_CTO,CTO,HUYỆN THỚI LAI-CTTL,SLA,
118,CTNK,QUẬN NINH KIỀU,CAN THO_CTO,CTO,QUẬN NINH KIỀU-CTNK,STG,
119,CTTN,QUẬN THỐT NỐT,CAN THO_CTO,CTO,QUẬN THỐT NỐT-CTTN,TGG,
121,CTVT,HUYỆN VĨNH THẠNH,CAN THO_CTO,CTO,HUYỆN VĨNH THẠNH-CTVT,TNH,
123,CTPD,HUYỆN PHONG ĐIỀN,CAN THO_CTO,CTO,HUYỆN PHONG ĐIỀN-CTPD,TQG,
125,CTCR,QUẬN CÁI RĂNG,CAN THO_CTO,CTO,QUẬN CÁI RĂNG-CTCR,TVH,
126,CTCD,HUYỆN CỜ ĐỎ,CAN THO_CTO,CTO,HUYỆN CỜ ĐỎ-CTCD,VLG,
127,CTBT,QUẬN BÌNH THỦY,CAN THO_CTO,CTO,QUẬN BÌNH THỦY-CTBT,VPC,
94,CBTA,HUYỆN THẠCH AN,CAO BANG_CBG,CBG,HUYỆN THẠCH AN-CBTA,VTU,
95,CBHL,HUYỆN HẠ LANG,CAO BANG_CBG,CBG,HUYỆN HẠ LANG-CBHL,YBN,
96,CBNB,HUYỆN NGUYÊN BÌNH,CAO BANG_CBG,CBG,HUYỆN NGUYÊN BÌNH-CBNB,,
97,CBBL,HUYỆN BẢO LẠC,CAO BANG_CBG,CBG,HUYỆN BẢO LẠC-CBBL,,
98,CBPH,HUYỆN PHỤC HÒA,CAO BANG_CBG,CBG,HUYỆN PHỤC HÒA-CBPH,,
99,CBTK,HUYỆN TRÙNG KHÁNH,CAO BANG_CBG,CBG,HUYỆN TRÙNG KHÁNH-CBTK,,
100,CBTN,HUYỆN THÔNG NÔNG,CAO BANG_CBG,CBG,HUYỆN THÔNG NÔNG-CBTN,,
101,CBBM,HUYỆN BẢO LÂM,CAO BANG_CBG,CBG,HUYỆN BẢO LÂM-CBBM,,
102,CBCB,THỊ XÃ CAO BẰNG,CAO BANG_CBG,CBG,THỊ XÃ CAO BẰNG-CBCB,,
103,CBHQ,HUYỆN HÀ QUẢNG,CAO BANG_CBG,CBG,HUYỆN HÀ QUẢNG-CBHQ,,
104,CBTL,HUYỆN TRÀ LĨNH,CAO BANG_CBG,CBG,HUYỆN TRÀ LĨNH-CBTL,,
105,CBHA,HUYỆN HÒA AN,CAO BANG_CBG,CBG,HUYỆN HÒA AN-CBHA,,
106,CBQU,HUYỆN QUẢNG UYÊN,CAO BANG_CBG,CBG,HUYỆN QUẢNG UYÊN-CBQU,,
161,DNCL,QUẬN CẨM LỆ,DA NANG_DNG,DNG,QUẬN CẨM LỆ-DNCL,,
162,DNTK,QUẬN THANH KHÊ,DA NANG_DNG,DNG,QUẬN THANH KHÊ-DNTK,,
163,DNNS,QUẬN NGŨ HÀNH SƠN,DA NANG_DNG,DNG,QUẬN NGŨ HÀNH SƠN-DNNS,,
164,DNHC,QUẬN HẢI CHÂU,DA NANG_DNG,DNG,QUẬN HẢI CHÂU-DNHC,,
165,DNST,QUẬN SƠN TRÀ,DA NANG_DNG,DNG,QUẬN SƠN TRÀ-DNST,,
166,DNLC,QUẬN LIÊN CHIỂU,DA NANG_DNG,DNG,QUẬN LIÊN CHIỂU-DNLC,,
167,DNHS,HUYỆN HOÀNG SA,DA NANG_DNG,DNG,HUYỆN HOÀNG SA-DNHS,,
169,DNHV,HUYỆN HÒA VANG,DA NANG_DNG,DNG,HUYỆN HÒA VANG-DNHV,,
146,DLKK,HUYỆN KRÔNG BÚK,DAK LAK_DLK,DLK,HUYỆN KRÔNG BÚK-DLKK,,
147,DLKN,HUYỆN KRÔNG NĂNG,DAK LAK_DLK,DLK,HUYỆN KRÔNG NĂNG-DLKN,,
148,DLBH,THỊ XÃ BUÔN HỒ,DAK LAK_DLK,DLK,THỊ XÃ BUÔN HỒ-DLBH,,
149,DLEK,HUYỆN EA KAR,DAK LAK_DLK,DLK,HUYỆN EA KAR-DLEK,,
150,DLBT,THÀNH PHỐ BUÔN MA THUỘT,DAK LAK_DLK,DLK,THÀNH PHỐ BUÔN MA THUỘT-DLBT,,
151,DLKA,HUYỆN KRÔNG A NA,DAK LAK_DLK,DLK,HUYỆN KRÔNG A NA-DLKA,,
152,DLLK,HUYỆN LẮK,DAK LAK_DLK,DLK,HUYỆN LẮK-DLLK,,
153,DLCM,HUYỆN CƯ M'GAR,DAK LAK_DLK,DLK,HUYỆN CƯ M'GAR-DLCM,,
154,DLBD,HUYỆN BUÔN ĐÔN,DAK LAK_DLK,DLK,HUYỆN BUÔN ĐÔN-DLBD,,
155,DLES,HUYỆN EA SÚP,DAK LAK_DLK,DLK,HUYỆN EA SÚP-DLES,,
156,DLKB,HUYỆN KRÔNG BÔNG,DAK LAK_DLK,DLK,HUYỆN KRÔNG BÔNG-DLKB,,
157,DLMD,HUYỆN M'ĐRẮK,DAK LAK_DLK,DLK,HUYỆN M'ĐRẮK-DLMD,,
158,DLEH,HUYỆN EA H'LEO,DAK LAK_DLK,DLK,HUYỆN EA H'LEO-DLEH,,
159,DLCK,HUYỆN CƯ KUIN,DAK LAK_DLK,DLK,HUYỆN CƯ KUIN-DLCK,,
160,DLKP,HUYỆN KRÔNG PẮK,DAK LAK_DLK,DLK,HUYỆN KRÔNG PẮK-DLKP,,
138,DKDL,HUYỆN ĐẮK GLONG,DAK NONG_DKG,DKG,HUYỆN ĐẮK GLONG-DKDL,,
139,DKTD,HUYỆN TUY ĐỨC,DAK NONG_DKG,DKG,HUYỆN TUY ĐỨC-DKTD,,
140,DKGN,THỊ XÃ GIA NGHĨA,DAK NONG_DKG,DKG,THỊ XÃ GIA NGHĨA-DKGN,,
141,DKCJ,HUYỆN CƯ JÚT,DAK NONG_DKG,DKG,HUYỆN CƯ JÚT-DKCJ,,
142,DKKN,HUYỆN KRÔNG NÔ,DAK NONG_DKG,DKG,HUYỆN KRÔNG NÔ-DKKN,,
143,DKDS,HUYỆN ĐẮK SONG,DAK NONG_DKG,DKG,HUYỆN ĐẮK SONG-DKDS,,
144,DKDM,HUYỆN ĐẮK MIL,DAK NONG_DKG,DKG,HUYỆN ĐẮK MIL-DKDM,,
145,DKDR,HUYỆN ĐẮK RLẤP,DAK NONG_DKG,DKG,HUYỆN ĐẮK RLẤP-DKDR,,
